period,asset,revenue_native
2025-07,ALGO,11840.28
2025-07,ADA,91794.44
2025-07,FLOKI,34444444.44
2025-07,TIA,24627.78
2025-07,SOL,682.8611
2025-07,ETH,48.75
2025-07,ETH,6.6667
2025-07,SOL,351.3333
2025-07,BCH,8.9444
2025-07,SUI,3422.22
2025-07,SOL,364
2025-07,SOL,312
2025-07,ADA,16881.94
2025-07,SEI,18750
2025-07,ALGO,8020.83
2025-07,S,17500
2025-07,ETH,6.4167
2025-07,SEI,3500
2025-07,INJ,131.25
2025-07,SOL,210
2025-07,BTC,1.07
2025-07,BTC,0.34
2025-07,BTC,1.48
2025-07,BTC,0.1709
2025-07,BTC,0.0361
2025-07,BTC,0.06
2025-07,BTC,0.2707
2025-07,BTC,0.07
2025-07,BTC,0.02
2025-07,BTC,0.0361
2025-07,BTC,0.0446
2025-07,BTC,0.11
2025-07,BTC,0.02
2025-07,BTC,0.11
2025-07,BTC,0.01
2025-07,BTC,0.92
2025-07,BTC,0.62
2025-07,BTC,0.04
2025-07,ETH,30.14
2025-07,ETH,2.26
2025-07,ETH,0.5396
2025-07,ETH,3.9748
2025-07,ETH,4.28
2025-07,ETH,1.9747
2025-07,AVAX,78.5707
2025-07,AVAX,155.6821
2025-07,AVAX,167.9839
2025-07,XRP,2794.52
2025-07,XRP,40520.55
2025-07,TON,11.9566
2025-07,XRP,5726.03
2025-07,XRP,16301.37
2025-07,SHIB,245416666.7
2025-07,LINK,155
2025-07,YFI,0.05
2025-07,MANA,2083.33
2025-07,CRV,1250
2025-07,ONDO,1562.5
2025-07,LINK,12.92
2025-07,PEPE,391805555.6
2025-07,RENDER,56.83
2025-07,UNI,78.15
2025-07,SAND,23.68
2025-07,SNX,391.81
2025-07,LTC,34.44
2025-07,ETC,18.94
2025-07,XLM,12000
2025-07,TAO,21.1
2025-07,PEPE,783611111.1
2025-07,RENDER,473.61
2025-07,GALA,43055.56
2025-07,ADA,25833.33
2025-07,BTTC,50000000
2025-07,DENT,28000
2025-07,BONK,161777777.8
2025-07,LINK,341.33
2025-07,XLM,9044.44
2025-07,FLOKI,4188888.89
2025-07,MORPHO,169.44
2025-07,WIF,1333.33
2025-07,ONDO,2038.89
2025-07,CRV,1333.33
2025-07,MANA,1777.78
2025-07,NEAR,1650.29
2025-07,FET,13586.94
2025-07,TAO,6.12
2025-07,DOT,218
2025-07,ATOM,95.81
2025-07,SOL,
2025-07,POL,3780.82
2025-07,FET,784.11
2025-08,ALGO,11840.28
2025-08,ADA,91794.44
2025-08,FLOKI,34444444.44
2025-08,SOL,682.8611
2025-08,ETH,43.3333
2025-08,SOL,351.3333
2025-08,BCH,12.0556
2025-08,SUI,4822.22
2025-08,SOL,537.3333
2025-08,SOL,537.3333
2025-08,ADA,30784.72
2025-08,SEI,38750
2025-08,ALGO,16576.39
2025-08,S,36166.67
2025-08,ETH,14.2083
2025-08,SEI,7750
2025-08,INJ,1356.25
2025-08,SOL,465
2025-08,TIA,1588.89
2025-08,TRUMP,75
2025-08,TIA,15708.33
2025-08,BTC,1.48
2025-08,BTC,0.1706
2025-08,BTC,0.0361
2025-08,BTC,0.06
2025-08,BTC,0.2707
2025-08,BTC,0.07
2025-08,BTC,0.02
2025-08,BTC,0.0361
2025-08,BTC,0.0446
2025-08,BTC,0.11
2025-08,BTC,0.02
2025-08,BTC,0.01
2025-08,BTC,0.01
2025-08,BTC,0.83
2025-08,BTC,0.26
2025-08,BTC,0.34
2025-08,BTC,0.09
2025-08,BTC,1.91
2025-08,BTC,0.16
2025-08,BTC,1.27
2025-08,ETH,42.47
2025-08,ETH,2.26
2025-08,ETH,0.5396
2025-08,ETH,3.9663
2025-08,ETH,1.8
2025-08,ETH,0.6458
2025-08,ETH,4.6181
2025-08,ETH,1.3194
2025-08,ETH,0.6597
2025-08,AVAX,578.0016
2025-08,XRP,21657.53
2025-08,XRP,6934.93
2025-08,XRP,36095.89
2025-08,XLM,7157.53
2025-08,LINK,52.96
2025-08,ADA,419.18
2025-08,LINK,36.47
2025-08,XRP,726.58
2025-08,SHIB,245416666.7
2025-08,LINK,155
2025-08,YFI,0.15
2025-08,PEPE,391805555.6
2025-08,RENDER,56.83
2025-08,UNI,78.15
2025-08,YFI,0.06
2025-08,SAND,23.68
2025-08,SNX,391.81
2025-08,LTC,34.44
2025-08,ETC,18.94
2025-08,XLM,23250
2025-08,TAO,21.1
2025-08,PEPE,783611111.1
2025-08,RENDER,473.61
2025-08,GALA,43055.56
2025-08,ADA,25833.33
2025-08,BTTC,96875000
2025-08,DENT,54250
2025-08,BONK,313444444.4
2025-08,LINK,661.33
2025-08,XLM,17523.61
2025-08,FLOKI,8115972.22
2025-08,MORPHO,328.3
2025-08,WIF,2583.33
2025-08,ONDO,3950.35
2025-08,CRV,2583.33
2025-08,MANA,3444.44
2025-08,DENT,54250
2025-08,NEAR,1650.29
2025-08,FET,13586.94
2025-08,TAO,6.12
2025-08,DOT,6758.05
2025-08,DOT,8328.3
2025-08,ATOM,2970.05
2025-08,SOL,17.84
2025-08,POL,58602.74
2025-08,CHZ,90715.13
2025-08,FET,12153.7
2025-09,ALGO,11458.3333
2025-09,ADA,15816.6667
2025-09,ADA,37086.1111
2025-09,FLOKI,33333333.3333
2025-09,SOL,660.8333
2025-09,SOL,340.000
2025-09,BCH,11.6667
2025-09,SUI,4666.6667
2025-09,SOL,520
2025-09,SOL,520
2025-09,SEI,37500
2025-09,ALGO,16041.6667
2025-09,S,35000
2025-09,ETH,13.75
2025-09,SEI,11812.5
2025-09,SEI,7500
2025-09,INJ,1312.5
2025-09,SOL,450
2025-09,TRUMP,750
2025-09,BNB,36.25
2025-09,TIA,16250
2025-09,BTC,1.430136986
2025-09,BTC,0.165049315
2025-09,BTC,0.034931507
2025-09,BTC,0.054986301
2025-09,BTC,0.261986301
2025-09,BTC,0.069863014
2025-09,BTC,0.015353425
2025-09,BTC,0.034931507
2025-09,BTC,0.043150685
2025-09,BTC,0.154109589
2025-09,BTC,0.002739726
2025-09,BTC,0.009863014
2025-09,BTC,0.104794521
2025-09,BTC,0.017465753
2025-09,BTC,0.017465753
2025-09,BTC,0.034931507
2025-09,BTC,0.184931507
2025-09,BTC,1.109589041
2025-09,BTC,0.592315068
2025-09,BTC,0.396821918
2025-09,BTC,1.191780822
2025-09,BTC,0.037671233
2025-09,BTC,0.351123288
2025-09,BTC,0.033767123
2025-09,ETH,41.1
2025-09,ETH,2.19
2025-09,ETH,0.5222
2025-09,ETH,3.8384
2025-09,ETH,27.3288
2025-09,ETH,7.8082
2025-09,ETH,3.9041
2025-09,AVAX,559.3564
2025-09,XRP,6375.00
2025-09,XRP,13150.68
2025-09,XRP,34931.51
2025-09,XLM,19520.55
2025-09,LINK,226.95
2025-09,XRP,7705.48
2025-09,ADA,2095.89
2025-09,LINK,182.34
2025-09,SOL,135.48
2025-09,BNB,17.38
2025-09,DOT,4857.23
2025-09,XRP,3632.88
2025-09,XRP,4808.22
2025-09,XRP,2876.71
2025-09,HYPE,203.42
2025-09,SHIB,237500000
2025-09,LINK,150
2025-09,YFI,0.15
2025-09,PEPE,379166666.7
2025-09,RENDER,55
2025-09,UNI,75.62
2025-09,YFI,0.05
2025-09,SAND,22.92
2025-09,SNX,379.17
2025-09,LTC,33.33
2025-09,ETC,18.33
2025-09,XLM,22500
2025-09,TAO,20.42
2025-09,PEPE,758333333.3
2025-09,RENDER,458.33
2025-09,GALA,41666.67
2025-09,ADA,25000
2025-09,BTTC,46875000
2025-09,DENT,52500
2025-09,BONK,151666666.7
2025-09,LINK,320
2025-09,XLM,8479.17
2025-09,FLOKI,3927083.33
2025-09,MORPHO,158.85
2025-09,WIF,1250
2025-09,ONDO,1911.46
2025-09,CRV,1250
2025-09,MANA,1666.67
2025-09,DENT,52500
2025-09,XLM,7019.44
2025-09,NEAR,1597.05
2025-09,FET,13148.65
2025-09,TAO,3.78
2025-09,TAO,5.92
2025-09,DOT,6540.05
2025-09,ATOM,2874.24
2025-09,SOL,17.26
2025-09,POL,56712.33
2025-09,CHZ,87788.84
2025-09,FET,11761.64